1,Malik Dodson,malikdodson@utec.edu,7,Ingenieria mecanica,202362465
2,TaShya Hogan,tashyahogan@utec.edu,2,Ingenieria de la energia,202179578
3,Chase Ward,chaseward@utec.edu,6,Ingenieria ambiental,202370289
4,Judith Edwards,judithedwards8853@utec.edu,4,Ingenieria civil,202303199
5,Jocelyn Bolton,jocelynbolton2374@utec.edu,9,Administracion de negocios,202391830
6,Amir Sawyer,amirsawyer@utec.edu,5,CS,202224371
7,Ivan Kirby,ivankirby@utec.edu,2,DS,202151261
8,Keith Rutledge,keithrutledge@utec.edu,4,Administracion de negocios,202253111
9,Wynter Ford,wynterford1243@utec.edu,4,Ingenieria mecatronica,202270616
10,Cruz Franks,cruzfranks31@utec.edu,4,Bioingenieria,202259934
11,Kelly Stone,kellystone@utec.edu,2,Ingenieria industrial,202319780
12,Thomas Waters,thomaswaters5506@utec.edu,5,Bioingenieria,202315832
13,Kermit Delacruz,kermitdelacruz@utec.edu,2,Ingenieria quimica,202180715
14,Cedric Stone,cedricstone3817@utec.edu,7,Ingenieria industrial,202354117
15,Gay Bentley,gaybentley@utec.edu,2,Ingenieria civil,202315255
16,Imogene Shelton,imogeneshelton@utec.edu,5,CS,202377392
17,Byron Mccormick,byronmccormick7805@utec.edu,5,Ingenieria civil,202210998
18,Penelope Newton,penelopenewton@utec.edu,10,Ingenieria electronica,202172740
19,Azalia Rice,azaliarice@utec.edu,9,Bioingenieria,202240273
20,Caryn Meadows,carynmeadows2119@utec.edu,7,DS,202199273
21,Avye Weiss,avyeweiss@utec.edu,8,Ingenieria electronica,202272752
22,Sandra Hunter,sandrahunter5359@utec.edu,8,Ingenieria quimica,202104605
23,Ariel Crawford,arielcrawford@utec.edu,3,CS,202187319
24,Chanda Dalton,chandadalton9874@utec.edu,8,Ingenieria de la energia,202271317
25,Tobias Gould,tobiasgould4948@utec.edu,8,Ingenieria ambiental,202316726
26,Noah Vasquez,noahvasquez9676@utec.edu,7,Ingenieria quimica,202394535
27,Amelia Martinez,ameliamartinez5499@utec.edu,8,Ingenieria civil,202202364
28,Patricia Lloyd,patricialloyd8709@utec.edu,8,Ingenieria mecatronica,202271814
29,Jolie Mclaughlin,joliemclaughlin@utec.edu,4,Ingenieria quimica,202334425
30,Meghan Walters,meghanwalters2587@utec.edu,3,Ingenieria mecatronica,202219217
31,Amos Brown,amosbrown@utec.edu,3,Ingenieria quimica,202349671
32,Jin Peck,jinpeck@utec.edu,1,Bioingenieria,202128310
33,Cade Barker,cadebarker5636@utec.edu,7,Ingenieria ambiental,202127341
34,Kevyn Dillard,kevyndillard1622@utec.edu,3,Bioingenieria,202216811
35,Cedric Cross,cedriccross2826@utec.edu,8,Ingenieria quimica,202182562
36,Sean Miranda,seanmiranda@utec.edu,9,Ingenieria electronica,202132549
37,Peter Webb,peterwebb@utec.edu,3,Bioingenieria,202351297
38,Elaine Wolf,elainewolf@utec.edu,4,Ingenieria industrial,202192080
39,Orson Bray,orsonbray@utec.edu,1,Ingenieria de la energia,202225665
40,Julian Taylor,juliantaylor@utec.edu,9,Ingenieria industrial,202390952
41,Kyle Daugherty,kyledaugherty4786@utec.edu,6,Ingenieria mecanica,202243634
42,Baxter Rowe,baxterrowe6412@utec.edu,8,Administracion de negocios,202219007
43,Olga Small,olgasmall@utec.edu,6,Ingenieria electronica,202119502
44,Haviva Herman,havivaherman@utec.edu,2,Administracion de negocios,202362757
45,Germane Snyder,germanesnyder6847@utec.edu,1,Ingenieria de la energia,202236067
46,Zenaida Holder,zenaidaholder4024@utec.edu,6,Ingenieria industrial,202157168
47,Myles Bentley,mylesbentley@utec.edu,3,Ingenieria civil,202348612
48,Ori Munoz,orimunoz@utec.edu,2,CS,202399970
49,Hamilton Glass,hamiltonglass5708@utec.edu,3,DS,202334165
50,Rhiannon Stanton,rhiannonstanton6487@utec.edu,10,Ingenieria electronica,202394573
51,Sierra Kinney,sierrakinney@utec.edu,3,Ingenieria civil,202331989
52,Lunea Knox,luneaknox@utec.edu,9,Ingenieria mecanica,202155798
53,Bruno Best,brunobest4950@utec.edu,2,Ingenieria ambiental,202102493
54,Louis Bridges,louisbridges@utec.edu,6,Administracion de negocios,202226673
55,Kay Fuller,kayfuller5324@utec.edu,3,Ingenieria mecanica,202324708
56,Alika Mcdowell,alikamcdowell807@utec.edu,3,Ingenieria mecatronica,202288445
57,Dexter Vance,dextervance3584@utec.edu,7,Ingenieria de la energia,202292943
58,Prescott Ballard,prescottballard8808@utec.edu,5,Ingenieria mecanica,202205701
59,Dominique Barton,dominiquebarton@utec.edu,10,Administracion de negocios,202178634
60,Gemma Trevino,gemmatrevino@utec.edu,8,DS,202214712
61,Kuame Patterson,kuamepatterson2159@utec.edu,8,Ingenieria electronica,202204787
62,Joshua Perez,joshuaperez@utec.edu,7,Ingenieria mecatronica,202117809
63,Kenyon Walls,kenyonwalls383@utec.edu,3,CS,202184503
64,Ashely Rocha,ashelyrocha@utec.edu,5,DS,202267050
65,Hayfa Todd,hayfatodd3054@utec.edu,1,Ingenieria de la energia,202353311
66,Serina Blevins,serinablevins@utec.edu,8,Ingenieria industrial,202108134
67,Pearl Ochoa,pearlochoa8803@utec.edu,6,Ingenieria electronica,202207488
68,Carolyn Ballard,carolynballard@utec.edu,1,Ingenieria civil,202228340
69,Virginia House,virginiahouse5314@utec.edu,7,Bioingenieria,202324551
70,Haviva Moss,havivamoss@utec.edu,1,Administracion de negocios,202161353
71,Evangeline Black,evangelineblack3637@utec.edu,2,Ingenieria de la energia,202237324
72,Emerald Wilder,emeraldwilder9804@utec.edu,5,Administracion de negocios,202233239
73,Thaddeus Bowman,thaddeusbowman1125@utec.edu,2,Ingenieria mecanica,202172711
74,Timothy Cantu,timothycantu9813@utec.edu,4,Ingenieria mecanica,202128785
75,Dante Dale,dantedale5891@utec.edu,5,Ingenieria quimica,202199561
76,Hyatt Skinner,hyattskinner@utec.edu,5,Ingenieria electronica,202362701
77,Price Pruitt,pricepruitt1763@utec.edu,2,Ingenieria industrial,202117875
78,Jeanette Todd,jeanettetodd@utec.edu,5,Ingenieria mecanica,202185341
79,Kieran Cooper,kierancooper@utec.edu,1,CS,202262254
