nombre,correo,ciclo,carrera,codigo
Luke Blanchard,lukeblanchard9430@utec.edu,9,CS,202256967
Constance Gould,constancegould2848@utec.edu,6,Ingenieria civil,202208710
Chester Cash,chestercash@utec.edu,4,Ingenieria mecanica,202394600
Ferdinand Abbott,ferdinandabbott@utec.edu,8,Ingenieria de la energia,202329033
Tarik Stone,tarikstone9365@utec.edu,10,DS,202165451
Orson Moreno,orsonmoreno@utec.edu,10,Ingenieria quimica,202389604
Coby Sanders,cobysanders@utec.edu,2,Administracion de negocios,202279947
Callum Jackson,callumjackson6479@utec.edu,2,Ingenieria quimica,202378004
Rhiannon Horton,rhiannonhorton@utec.edu,4,Ingenieria mecanica,202253262
Harding Small,hardingsmall@utec.edu,2,Ingenieria de la energia,202366838
Ivan Strong,ivanstrong@utec.edu,4,Ingenieria quimica,202377563
Kennan Conner,kennanconner@utec.edu,2,CS,202218360
Tad Medina,tadmedina1305@utec.edu,2,CS,202268280
Kato Gilbert,katogilbert@utec.edu,9,DS,202383934
Yoshio Bates,yoshiobates@utec.edu,5,Ingenieria civil,202212519
Zena Woodard,zenawoodard@utec.edu,3,Ingenieria industrial,202368686
Yoko Robles,yokorobles9214@utec.edu,7,Bioingenieria,202378821
Mona Day,monaday@utec.edu,6,Ingenieria civil,202110133
Rhea Weiss,rheaweiss7128@utec.edu,5,Ingenieria quimica,202283470
Rose Parsons,roseparsons@utec.edu,1,Ingenieria ambiental,202230199
Hayley Clarke,hayleyclarke3553@utec.edu,8,Ingenieria electronica,202193660
Edan Becker,edanbecker4763@utec.edu,10,Ingenieria quimica,202381673
Chaney Mendez,chaneymendez6277@utec.edu,2,Administracion de negocios,202160485
Aiko Anthony,aikoanthony@utec.edu,5,Ingenieria mecatronica,202288786
Reese Phelps,reesephelps5197@utec.edu,2,Ingenieria electronica,202382971
Price Chapman,pricechapman@utec.edu,2,Ingenieria electronica,202273237
Ralph Brock,ralphbrock2909@utec.edu,8,CS,202101684
Lev Pearson,levpearson8451@utec.edu,7,Administracion de negocios,202159436
Lacy Houston,lacyhouston8096@utec.edu,3,Ingenieria industrial,202165258
Brenda Rose,brendarose4669@utec.edu,4,Ingenieria electronica,202345960
Zane Adkins,zaneadkins@utec.edu,2,DS,202347061
Dalton Barrett,daltonbarrett@utec.edu,8,Ingenieria quimica,202168746
Claire Hunt,clairehunt4246@utec.edu,10,Ingenieria quimica,202156828
Macaulay Fowler,macaulayfowler@utec.edu,10,Ingenieria industrial,202214998
Hayes Whitley,hayeswhitley@utec.edu,7,Ingenieria industrial,202208097
Logan Everett,loganeverett@utec.edu,4,Ingenieria industrial,202228718
Barry Holt,barryholt@utec.edu,3,Ingenieria de la energia,202249792
Rebekah Campbell,rebekahcampbell@utec.edu,10,Bioingenieria,202362195
Quinn Barnes,quinnbarnes713@utec.edu,3,Administracion de negocios,202384239
Shelby Roach,shelbyroach@utec.edu,7,Ingenieria mecatronica,202199457
Ross Golden,rossgolden@utec.edu,3,Administracion de negocios,202253747
Brenda Horne,brendahorne3425@utec.edu,4,Administracion de negocios,202246073
Callie Paul,calliepaul1576@utec.edu,3,Ingenieria industrial,202277248
Lysandra Olsen,lysandraolsen@utec.edu,4,Bioingenieria,202289931
Martena Cardenas,martenacardenas216@utec.edu,2,Ingenieria mecanica,202186027
Nicole Gonzalez,nicolegonzalez@utec.edu,7,Administracion de negocios,202167519
Brianna Russell,briannarussell2684@utec.edu,9,DS,202185502
Simon Adams,simonadams@utec.edu,5,Ingenieria civil,202326572
Harrison Acevedo,harrisonacevedo@utec.edu,6,Ingenieria mecanica,202372619
Brianna Conley,briannaconley1229@utec.edu,7,DS,202298932
Philip Waller,philipwaller1336@utec.edu,1,Ingenieria quimica,202378294
Madaline Howell,madalinehowell51@utec.edu,3,Ingenieria electronica,202245849
Steel West,steelwest@utec.edu,3,Ingenieria industrial,202240492
Jocelyn Maddox,jocelynmaddox3347@utec.edu,8,CS,202190123
Wallace Decker,wallacedecker6399@utec.edu,6,Ingenieria mecatronica,202104292
